Position: PF
Name				Rating				Age			Wage
Quincy Acy			1.608871e+01			27			1700640
Al-Farouq Aminu			2.672613e+01			27			7300000
Ryan Anderson			2.521315e+01			29			19508958
Giannis Antetokounmpo		1.037815e+02			23			22434783
Carmelo Anthony			5.628274e+01			33			26153057
Harrison Barnes			6.947415e+01			25			23000000
Michael Beasley			4.860387e+01			29			2116955
Dragan Bender			2.117489e+01			20			4402546
Davis Bertans			1.870791e+01			25			1312611
Nemanja Bjelica			1.945174e+01			29			3903900
Trevor Booker			2.188060e+01			30			9003125
Trevor Booker			9.375664e+00			30			9003125
Trevor Booker			8.232432e+00			30			9003125
Trevor Booker			4.714045e+00			30			9003125
Tyler Cavanaugh			7.920259e+00			23			50000
Marquese Chriss			2.614563e+01			20			3057240
John Collins			3.964143e+01			20			1913345
Anthony Davis			1.080812e+02			24			23775506
Sam Dekker			1.520019e+01			23			1785000
Cheick Diallo			1.345593e+01			21			1312611
Jared Dudley			6.564630e+00			32			10000000
Kevin Durant			8.489178e+01			29			24773250
Henry Ellenson			6.985508e+00			21			1739333
Kenneth Faried			1.000898e+01			28			12782609
Dorian Finney-Smith		5.396595e+00			24			1312611
Rudy Gay			3.227715e+01			31			8393000
Taj Gibson			5.124019e+01			32			13954000
Aaron Gordon			4.716507e+01			22			5500000
Jerami Grant			3.435005e+01			23			1524305
Draymond Green			3.636983e+01			27			16400000
JaMychal Green			2.731349e+01			27			8445024
Jeff Green			4.189627e+01			31			2116955
Blake Griffin			5.942136e+01			28			28703704
Blake Griffin			3.611148e+01			28			28703704
Blake Griffin			2.358742e+01			28			28703704
Tobias Harris			6.718618e+01			25			15550000
Tobias Harris			3.914137e+01			25			15550000
Tobias Harris			2.829317e+01			25			15550000
Juan Hernangomez		3.659524e+00			22			2028360
Isaiah Hicks			4.158210e+00			23			0
Josh Huestis			6.463373e+00			26			1471382
Serge Ibaka			4.376377e+01			28			20000000
Ersan Ilyasova			3.422217e+01			30			500000
Ersan Ilyasova			2.294125e+01			30			500000
Ersan Ilyasova			1.150523e+01			30			500000
Jonathan Isaac			6.795404e+00			20			4180000
LeBron James			1.093547e+02			33			31269231
Jonas Jerebko			1.886219e+01			30			3949999
James Johnson			3.790670e+01			30			13788500
Frank Kaminsky			4.021440e+01			24			2844429
Maxi Kleber			1.793642e+01			26			815615
Luke Kornet			5.585650e+00			22			0
Kyle Kuzma			5.584130e+01			22			1414920
Skal Labissiere			2.641449e+01			21			1312611
T.J. Leaf			7.171285e+00			20			2000000
Trey Lyles			3.331919e+01			22			2422560
Lauri Markkanen			4.603656e+01			20			3807146
Jarell Martin			2.761106e+01			23			1471382
Luc Mbah a Moute		2.066065e+01			31			2116955
Jordan Mickey			4.859996e+00			23			1471382
Paul Millsap			2.716408e+01			32			29727900
Nikola Mirotic			3.759201e+01			26			12307692
Nikola Mirotic			1.850987e+01			26			12307692
Nikola Mirotic			1.936437e+01			26			12307692
Eric Moreland			7.461768e+00			26			1713840
Marcus Morris			3.386148e+01			28			5000000
Markieff Morris			3.950673e+01			28			8000000
Johnny O'Bryant			8.255168e+00			24			1524305
Semi Ojeleye			8.096971e+00			23			1184385
Kelly Olynyk			3.989780e+01			26			10595505
Jabari Parker			1.864646e+01			22			6666667
Patrick Patterson		1.315606e+01			28			5192000
Alec Peters			3.452358e+00			22			0
Bobby Portis			4.568302e+01			22			1504560
Kristaps Porzingis		5.237038e+01			22			4468800
Ivan Rabb			1.058180e+01			20			950000
Zach Randolph			4.139693e+01			36			12250000
Dario Saric			5.121707e+01			23			2422560
Mike Scott			3.081318e+01			29			1709538
Pascal Siakam			2.875049e+01			23			1312611
Lance Thomas			1.295785e+01			29			6352531
Anthony Tolliver		2.846723e+01			32			1988520
P.J. Tucker			1.992247e+01			32			7579366
Noah Vonleh			1.276099e+01			22			3501120
Noah Vonleh			6.270681e+00			22			3501120
Noah Vonleh			6.695378e+00			22			3501120
Marvin Williams			3.212559e+01			31			13000000
Justise Winslow			2.483952e+01			21			2700000
Brandan Wright			7.413272e+00			30			5090040
Brandan Wright			7.216548e+00			30			5090040
Guerschon Yabusele		3.691259e+00			22			2245400
Thaddeus Young			4.560924e+01			29			14500000
